pH,mu,level
5.42,0.0400315,def3
5.40399,0.0412473,def3
5.39655,0.0418168,def3
5.38918,0.0423735,def3
5.38189,0.0429176,def3
5.37467,0.0434491,def3
5.36754,0.0439681,def3
5.3605,0.0444746,def3
5.35355,0.0449686,def3
5.34671,0.0454501,def3
5.33998,0.0459191,def3
5.33335,0.0463756,def3
5.32684,0.0468197,def3
5.32046,0.0472514,def3
5.3142,0.0476708,def3
5.30807,0.0480779,def3
5.30206,0.048473,def3
5.2962,0.0488561,def3
5.29046,0.0492275,def3
5.28487,0.0495872,def3
5.27941,0.0499356,def3
5.27409,0.0502727,def3
5.26891,0.0505989,def3
5.26386,0.0509144,def3
5.25895,0.0512193,def3
5.25418,0.0515141,def3
5.24954,0.0517989,def3
5.24504,0.052074,def3
5.24066,0.0523398,def3
5.23641,0.0525964,def3
5.23229,0.0528442,def3
5.22829,0.0530834,def3
5.22441,0.0533143,def3
5.22065,0.0535373,def3
5.21701,0.0537526,def3
5.21347,0.0539604,def3
5.21005,0.054161,def3
5.20673,0.0543548,def3
5.20351,0.0545419,def3
5.20039,0.0547227,def3
5.19736,0.0548973,def3
5.19443,0.0550661,def3
5.19159,0.0552292,def3
5.18883,0.0553869,def3
5.18616,0.0555394,def3
5.18356,0.0556869,def3
5.18105,0.0558297,def3
5.1786,0.055968,def3
5.17623,0.0561019,def3
5.17393,0.0562316,def3
5.17169,0.0563574,def3
5.16951,0.0564793,def3
5.1674,0.0565976,def3
5.16534,0.0567125,def3
5.16333,0.056824,def3
5.16139,0.0569324,def3
5.15949,0.0570377,def3
5.15764,0.0571402,def3
5.15583,0.0572399,def3
5.15407,0.057337,def3
5.15235,0.0574316,def3
5.15068,0.0575238,def3
5.14904,0.0576137,def3
5.14744,0.0577014,def3
5.14587,0.0577871,def3
5.14434,0.0578708,def3
5.14284,0.0579526,def3
5.14137,0.0580327,def3
5.13993,0.058111,def3
5.13852,0.0581876,def3
5.13714,0.0582628,def3
5.13578,0.0583364,def3
5.13445,0.0584086,def3
5.13314,0.0584794,def3
5.13185,0.058549,def3
5.13058,0.0586173,def3
5.12934,0.0586845,def3
5.12811,0.0587505,def3
5.1269,0.0588155,def3
5.12571,0.0588794,def3
5.12454,0.0589423,def3
5.12338,0.0590044,def3
5.12224,0.0590655,def3
5.12111,0.0591258,def3
5.12,0.0591852,def3
5.1189,0.0592439,def3
5.11781,0.0593018,def3
5.11674,0.059359,def3
5.11567,0.0594156,def3
5.11462,0.0594714,def3
5.11358,0.0595267,def3
5.11255,0.0595814,def3
5.11153,0.0596355,def3
5.11052,0.059689,def3
5.10952,0.059742,def3
5.10852,0.0597945,def3
5.10754,0.0598466,def3
5.10656,0.0598981,def3
5.10559,0.0599492,def3
5.10463,0.0599999,def3
5.10368,0.0600502,def3
5.10273,0.0601001,def3
5.10179,0.0601497,def3
5.10085,0.0601988,def3
5.09992,0.0602476,def3
5.099,0.0602961,def3
5.09808,0.0603443,def3
5.09716,0.0603921,def3
5.09625,0.0604397,def3
5.09535,0.060487,def3
5.09445,0.060534,def3
5.09355,0.0605807,def3
5.09266,0.0606272,def3
5.09178,0.0606734,def3
5.09089,0.0607194,def3
5.09001,0.0607652,def3
5.08914,0.0608108,def3
5.08826,0.0608561,def3
5.08739,0.0609013,def3
5.08653,0.0609462,def3
5.08566,0.060991,def3
5.0848,0.0610356,def3
5.08395,0.06108,def3
5.08309,0.0611243,def3
5.08224,0.0611684,def3
5.08139,0.0612123,def3
5.08054,0.0612561,def3
5.0797,0.0612997,def3
5.07885,0.0613432,def3
5.07801,0.0613865,def3
5.07717,0.0614298,def3
5.07634,0.0614729,def3
5.0755,0.0615158,def3
5.07467,0.0615587,def3
5.07383,0.0616015,def3
5.073,0.0616441,def3
5.07217,0.0616866,def3
5.07135,0.061729,def3
5.07052,0.0617714,def3
5.0697,0.0618136,def3
5.06887,0.0618557,def3
5.06805,0.0618978,def3
5.06723,0.0619398,def3
5.06641,0.0619816,def3
5.06559,0.0620234,def3
5.06477,0.0620652,def3
5.06396,0.0621068,def3
5.06314,0.0621484,def3
5.06232,0.0621899,def3
5.06151,0.0622313,def3
5.0607,0.0622727,def3
5.05988,0.062314,def3
5.05907,0.0623552,def3
5.05826,0.0623964,def3
5.05745,0.0624375,def3
5.05664,0.0624786,def3
5.05583,0.0625196,def3
5.05502,0.0625606,def3
5.05421,0.0626015,def3
5.0534,0.0626424,def3
5.0526,0.0626832,def3
5.05179,0.0627239,def3
5.05098,0.0627647,def3
5.05018,0.0628053,def3
5.04937,0.062846,def3
5.04856,0.0628866,def3
5.04776,0.0629272,def3
5.04695,0.0629677,def3
5.04615,0.0630082,def3
5.04534,0.0630486,def3
5.04454,0.0630891,def3
5.04374,0.0631295,def3
5.04293,0.0631698,def3
5.04213,0.0632102,def3
5.04132,0.0632505,def3
5.04052,0.0632907,def3
5.03972,0.063331,def3
5.03891,0.0633712,def3
5.03811,0.0634114,def3
5.0373,0.0634516,def3
5.0365,0.0634918,def3
5.0357,0.0635319,def3
5.03489,0.063572,def3
5.03409,0.0636121,def3
5.03329,0.0636522,def3
5.03248,0.0636922,def3
5.03168,0.0637322,def3
5.03087,0.0637723,def3
5.03007,0.0638123,def3
5.02926,0.0638522,def3
5.02846,0.0638922,def3
5.02766,0.0639322,def3
5.02685,0.0639721,def3
5.02605,0.064012,def3
5.02524,0.0640519,def3
5.02444,0.0640918,def3
5.02363,0.0641317,def3
5.02282,0.0641716,def3
5.02202,0.0642115,def3
5.02121,0.0642513,def3
5.02041,0.0642912,def3
5.0196,0.064331,def3
5.01879,0.0643709,def3
5.01798,0.0644107,def3
5.01718,0.0644505,def3
5.01637,0.0644903,def3
5.01556,0.0645301,def3
5.01475,0.0645699,def3
5.01394,0.0646097,def3
5.01314,0.0646495,def3
5.01233,0.0646893,def3
5.01152,0.064729,def3
5.01071,0.0647688,def3
5.0099,0.0648086,def3
5.00909,0.0648484,def3
5.00827,0.0648881,def3
5.00746,0.0649279,def3
5.00665,0.0649676,def3
5.00584,0.0650074,def3
5.00503,0.0650471,def3
5.00421,0.0650869,def3
5.0034,0.0651266,def3
5.00259,0.0651664,def3
5.00177,0.0652061,def3
5.00096,0.0652459,def3
5.00014,0.0652856,def3
4.99933,0.0653254,def3
4.99851,0.0653651,def3
4.9977,0.0654049,def3
4.99688,0.0654446,def3
4.99606,0.0654844,def3
4.99525,0.0655241,def3
4.99443,0.0655639,def3
4.99361,0.0656036,def3
4.99279,0.0656434,def3
4.99197,0.0656831,def3
4.99115,0.0657229,def3
4.99033,0.0657627,def3
4.98951,0.0658024,def3
4.98869,0.0658422,def3
4.98787,0.065882,def3
4.98705,0.0659217,def3
4.98622,0.0659615,def3
4.9854,0.0660013,def3
4.98458,0.0660411,def3
4.98375,0.0660809,def3
4.98293,0.0661206,def3
4.98211,0.0661604,def3
4.98128,0.0662002,def3
4.98045,0.06624,def3
4.97963,0.0662799,def3
4.9788,0.0663197,def3
4.97797,0.0663595,def3
4.97715,0.0663993,def3
4.97632,0.0664391,def3
4.97549,0.066479,def3
4.97466,0.0665188,def3
4.97383,0.0665586,def3
4.973,0.0665985,def3
4.97217,0.0666383,def3
4.97134,0.0666782,def3
4.97051,0.066718,def3
4.96968,0.0667579,def3
4.96884,0.0667978,def3
4.96801,0.0668377,def3
4.96718,0.0668775,def3
4.96634,0.0669174,def3
4.96551,0.0669573,def3
4.96467,0.0669972,def3
4.96384,0.0670371,def3
4.963,0.0670771,def3
4.96217,0.067117,def3
4.96133,0.0671569,def3
4.96049,0.0671968,def3
4.95965,0.0672368,def3
4.95881,0.0672767,def3
4.95797,0.0673167,def3
4.95714,0.0673566,def3
4.9563,0.0673966,def3
4.95545,0.0674366,def3
4.95461,0.0674765,def3
4.95377,0.0675165,def3
4.95293,0.0675565,def3
4.95209,0.0675965,def3
4.95124,0.0676365,def3
4.9504,0.0676765,def3
4.94956,0.0677165,def3
4.94871,0.0677565,def3
4.94787,0.0677966,def3
4.94702,0.0678366,def3
4.94617,0.0678767,def3
4.94533,0.0679167,def3
4.94448,0.0679568,def3
4.94363,0.0679968,def3
4.94279,0.0680369,def3
4.94194,0.068077,def3
4.94109,0.0681171,def3
4.94024,0.0681571,def3
4.93939,0.0681972,def3
4.93854,0.0682373,def3
4.93769,0.0682775,def3
4.93683,0.0683176,def3
4.93598,0.0683577,def3
4.93513,0.0683978,def3
4.93428,0.068438,def3
4.93342,0.0684781,def3
4.93257,0.0685183,def3
4.93171,0.0685584,def3
4.93086,0.0685986,def3
4.93,0.0686388,def3
4.92915,0.0686789,def3
4.92829,0.0687191,def3
4.92743,0.0687593,def3
4.92658,0.0687995,def3
4.92572,0.0688397,def3
4.92486,0.0688799,def3
4.924,0.0689202,def3
4.92314,0.0689604,def3
4.92228,0.0690006,def3
4.92142,0.0690409,def3
4.92056,0.0690811,def3
4.9197,0.0691214,def3
4.91884,0.0691616,def3
4.91798,0.0692019,def3
4.91711,0.0692422,def3
4.91625,0.0692824,def3
4.91539,0.0693227,def3
4.91452,0.069363,def3
4.91366,0.0694033,def3
4.91279,0.0694436,def3
4.91193,0.0694839,def3
4.91106,0.0695243,def3
4.91019,0.0695646,def3
4.90933,0.0696049,def3
4.90846,0.0696452,def3
4.90759,0.0696856,def3
4.90672,0.0697259,def3
4.90586,0.0697663,def3
4.90499,0.0698067,def3
4.90412,0.069847,def3
4.90325,0.0698874,def3
4.90238,0.0699278,def3
4.90151,0.0699682,def3
4.90063,0.0700086,def3
4.89976,0.0700489,def3
4.89889,0.0700894,def3
4.89802,0.0701298,def3
4.89714,0.0701702,def3
4.89627,0.0702106,def3
4.8954,0.070251,def3
4.89452,0.0702915,def3
4.89365,0.0703319,def3
4.89277,0.0703723,def3
4.8919,0.0704128,def3
4.89102,0.0704532,def3
4.89014,0.0704937,def3
4.88927,0.0705342,def3
4.88839,0.0705746,def3
4.88751,0.0706151,def3
4.88663,0.0706556,def3
4.88576,0.0706961,def3
4.88488,0.0707366,def3
4.884,0.0707771,def3
4.88312,0.0708176,def3
4.88224,0.0708581,def3
4.88136,0.0708986,def3
4.88048,0.0709391,def3
4.87959,0.0709796,def3
4.87871,0.0710202,def3
4.87783,0.0710607,def3
4.87695,0.0711012,def3
4.87607,0.0711418,def3
4.87518,0.0711823,def3
4.8743,0.0712229,def3
4.87341,0.0712634,def3
4.87253,0.071304,def3
4.87164,0.0713445,def3
4.87076,0.0713851,def3
4.86987,0.0714257,def3
4.86899,0.0714662,def3
4.8681,0.0715068,def3
4.86722,0.0715474,def3
4.86633,0.071588,def3
4.86544,0.0716286,def3
4.86455,0.0716692,def3
4.86367,0.0717098,def3
4.86278,0.0717504,def3
4.86189,0.071791,def3
4.861,0.0718316,def3
4.86011,0.0718722,def3
4.85922,0.0719129,def3
4.85833,0.0719535,def3
4.85744,0.0719941,def3
4.85655,0.0720347,def3
4.85566,0.0720754,def3
4.85477,0.072116,def3
4.85387,0.0721566,def3
4.85298,0.0721973,def3
4.85209,0.0722379,def3
4.8512,0.0722786,def3
4.8503,0.0723192,def3
