pH,mu,level
4.62151,0.0597328,def5
4.61944,0.0597803,def5
4.61738,0.0598276,def5
4.61534,0.0598746,def5
4.6133,0.0599213,def5
4.61128,0.0599677,def5
4.60927,0.0600139,def5
4.60728,0.0600598,def5
4.60529,0.0601054,def5
4.60332,0.0601509,def5
4.60135,0.0601961,def5
4.5994,0.060241,def5
4.59746,0.0602858,def5
4.59552,0.0603303,def5
4.5936,0.0603746,def5
4.59169,0.0604187,def5
4.58978,0.0604626,def5
4.58788,0.0605064,def5
4.58599,0.0605499,def5
4.58411,0.0605933,def5
4.58224,0.0606365,def5
4.58038,0.0606795,def5
4.57852,0.0607224,def5
4.57667,0.0607651,def5
4.57483,0.0608077,def5
4.57299,0.0608501,def5
4.57117,0.0608923,def5
4.56935,0.0609344,def5
4.56753,0.0609764,def5
4.56572,0.0610182,def5
4.56392,0.0610599,def5
4.56212,0.0611015,def5
4.56033,0.0611429,def5
4.55855,0.0611842,def5
4.55677,0.0612254,def5
4.555,0.0612665,def5
4.55323,0.0613075,def5
4.55147,0.0613483,def5
4.54971,0.061389,def5
4.54796,0.0614297,def5
4.54621,0.0614702,def5
4.54447,0.0615106,def5
4.54273,0.061551,def5
4.541,0.0615912,def5
4.53927,0.0616313,def5
4.53755,0.0616713,def5
4.53583,0.0617113,def5
4.53411,0.0617511,def5
4.5324,0.0617909,def5
4.5307,0.0618306,def5
4.52899,0.0618702,def5
4.5273,0.0619097,def5
4.5256,0.0619491,def5
4.52391,0.0619885,def5
4.52222,0.0620277,def5
4.52054,0.0620669,def5
4.51886,0.062106,def5
4.51718,0.0621451,def5
4.51551,0.0621841,def5
4.51384,0.062223,def5
4.51218,0.0622618,def5
4.51051,0.0623006,def5
4.50885,0.0623392,def5
4.5072,0.0623779,def5
4.50555,0.0624164,def5
4.5039,0.0624549,def5
4.50225,0.0624934,def5
4.50061,0.0625317,def5
4.49896,0.0625701,def5
4.49733,0.0626083,def5
4.49569,0.0626465,def5
4.49406,0.0626846,def5
4.49243,0.0627227,def5
4.4908,0.0627607,def5
4.48918,0.0627987,def5
4.48756,0.0628366,def5
4.48594,0.0628745,def5
4.48433,0.0629123,def5
4.48271,0.06295,def5
4.4811,0.0629877,def5
4.47949,0.0630253,def5
4.47789,0.0630629,def5
4.47629,0.0631005,def5
4.47468,0.063138,def5
4.47309,0.0631754,def5
4.47149,0.0632128,def5
4.4699,0.0632502,def5
4.46831,0.0632875,def5
4.46672,0.0633247,def5
4.46513,0.0633619,def5
4.46354,0.0633991,def5
4.46196,0.0634362,def5
4.46038,0.0634733,def5
4.4588,0.0635103,def5
4.45723,0.0635473,def5
4.45565,0.0635842,def5
4.45408,0.0636211,def5
4.45251,0.063658,def5
4.45095,0.0636948,def5
4.44938,0.0637316,def5
4.44782,0.0637683,def5
4.44626,0.063805,def5
4.4447,0.0638416,def5
4.44314,0.0638782,def5
4.44158,0.0639148,def5
4.44003,0.0639513,def5
4.43848,0.0639878,def5
4.43693,0.0640243,def5
4.43538,0.0640607,def5
4.43383,0.0640971,def5
4.43229,0.0641334,def5
4.43075,0.0641697,def5
4.42921,0.064206,def5
4.42767,0.0642422,def5
4.42613,0.0642784,def5
4.42459,0.0643145,def5
4.42306,0.0643506,def5
4.42153,0.0643867,def5
4.42,0.0644227,def5
4.41847,0.0644587,def5
4.41694,0.0644947,def5
4.41542,0.0645306,def5
4.4139,0.0645665,def5
4.41237,0.0646024,def5
4.41085,0.0646382,def5
4.40934,0.064674,def5
4.40782,0.0647098,def5
4.4063,0.0647455,def5
4.40479,0.0647812,def5
4.40328,0.0648168,def5
4.40177,0.0648524,def5
4.40026,0.064888,def5
4.39875,0.0649236,def5
4.39725,0.0649591,def5
4.39574,0.0649946,def5
4.39424,0.06503,def5
4.39274,0.0650654,def5
4.39124,0.0651008,def5
4.38974,0.0651361,def5
4.38825,0.0651715,def5
4.38675,0.0652067,def5
4.38526,0.065242,def5
4.38377,0.0652772,def5
4.38228,0.0653124,def5
4.38079,0.0653475,def5
4.3793,0.0653826,def5
4.37782,0.0654177,def5
4.37633,0.0654528,def5
4.37485,0.0654878,def5
4.37337,0.0655228,def5
4.37189,0.0655577,def5
4.37041,0.0655926,def5
4.36893,0.0656275,def5
4.36746,0.0656624,def5
4.36598,0.0656972,def5
4.36451,0.065732,def5
4.36304,0.0657668,def5
4.36157,0.0658015,def5
4.3601,0.0658362,def5
4.35864,0.0658708,def5
4.35717,0.0659055,def5
4.35571,0.0659401,def5
4.35424,0.0659746,def5
4.35278,0.0660092,def5
4.35132,0.0660437,def5
4.34986,0.0660781,def5
4.34841,0.0661126,def5
4.34695,0.066147,def5
4.34549,0.0661814,def5
4.34404,0.0662157,def5
4.34259,0.06625,def5
4.34114,0.0662843,def5
4.33969,0.0663186,def5
4.33824,0.0663528,def5
4.3368,0.0663869,def5
4.33535,0.0664211,def5
4.33391,0.0664552,def5
4.33246,0.0664893,def5
4.33102,0.0665234,def5
4.32958,0.0665574,def5
4.32815,0.0665914,def5
4.32671,0.0666253,def5
4.32527,0.0666593,def5
4.32384,0.0666932,def5
4.3224,0.066727,def5
4.32097,0.0667609,def5
4.31954,0.0667947,def5
4.31811,0.0668284,def5
4.31668,0.0668622,def5
4.31526,0.0668959,def5
4.31383,0.0669296,def5
4.31241,0.0669632,def5
4.31099,0.0669968,def5
4.30956,0.0670304,def5
4.30814,0.0670639,def5
4.30672,0.0670974,def5
4.30531,0.0671309,def5
4.30389,0.0671644,def5
4.30247,0.0671978,def5
4.30106,0.0672312,def5
4.29965,0.0672645,def5
4.29824,0.0672979,def5
4.29683,0.0673311,def5
4.29542,0.0673644,def5
4.29401,0.0673976,def5
4.2926,0.0674308,def5
4.2912,0.067464,def5
4.28979,0.0674971,def5
4.28839,0.0675302,def5
4.28699,0.0675633,def5
4.28559,0.0675963,def5
4.28419,0.0676293,def5
4.28279,0.0676623,def5
4.2814,0.0676952,def5
4.28,0.0677281,def5
4.27861,0.067761,def5
4.27722,0.0677938,def5
4.27582,0.0678266,def5
4.27443,0.0678594,def5
4.27304,0.0678921,def5
4.27166,0.0679248,def5
4.27027,0.0679575,def5
4.26889,0.0679901,def5
4.2675,0.0680227,def5
4.26612,0.0680553,def5
4.26474,0.0680878,def5
4.26336,0.0681203,def5
4.26198,0.0681528,def5
4.2606,0.0681852,def5
4.25922,0.0682177,def5
4.25785,0.06825,def5
4.25647,0.0682824,def5
4.2551,0.0683147,def5
4.25373,0.068347,def5
4.25236,0.0683792,def5
4.25099,0.0684114,def5
4.24962,0.0684436,def5
4.24825,0.0684757,def5
4.24689,0.0685078,def5
4.24552,0.0685399,def5
4.24416,0.0685719,def5
4.2428,0.0686039,def5
4.24143,0.0686359,def5
4.24007,0.0686679,def5
4.23872,0.0686998,def5
4.23736,0.0687316,def5
4.236,0.0687635,def5
4.23465,0.0687953,def5
4.23329,0.0688271,def5
4.23194,0.0688588,def5
4.23059,0.0688905,def5
4.22924,0.0689222,def5
4.22789,0.0689538,def5
4.22654,0.0689854,def5
4.22519,0.069017,def5
4.22385,0.0690485,def5
4.2225,0.06908,def5
4.22116,0.0691115,def5
4.21982,0.0691429,def5
4.21848,0.0691743,def5
4.21714,0.0692057,def5
4.2158,0.069237,def5
4.21446,0.0692683,def5
4.21313,0.0692995,def5
4.21179,0.0693308,def5
4.21046,0.069362,def5
4.20912,0.0693931,def5
4.20779,0.0694242,def5
4.20646,0.0694553,def5
4.20513,0.0694864,def5
4.20381,0.0695174,def5
4.20248,0.0695484,def5
4.20115,0.0695793,def5
4.19983,0.0696102,def5
4.19851,0.0696411,def5
4.19718,0.069672,def5
4.19586,0.0697028,def5
4.19454,0.0697335,def5
4.19322,0.0697643,def5
4.19191,0.069795,def5
4.19059,0.0698257,def5
4.18928,0.0698563,def5
4.18796,0.0698869,def5
4.18665,0.0699175,def5
4.18534,0.069948,def5
4.18403,0.0699785,def5
4.18272,0.0700089,def5
4.18141,0.0700394,def5
4.1801,0.0700698,def5
