pH,mu,level
5.42,0.0400315,def5
5.38572,0.0410532,def5
5.36924,0.0415375,def5
5.35279,0.042015,def5
5.33639,0.0424854,def5
5.32004,0.0429485,def5
5.30377,0.0434041,def5
5.28758,0.0438518,def5
5.2715,0.0442915,def5
5.25555,0.0447229,def5
5.23974,0.0451457,def5
5.22409,0.0455597,def5
5.20862,0.0459648,def5
5.19335,0.0463608,def5
5.17829,0.0467475,def5
5.16346,0.0471248,def5
5.14887,0.0474928,def5
5.13454,0.0478513,def5
5.12047,0.0482003,def5
5.10668,0.0485399,def5
5.09318,0.0488702,def5
5.07997,0.0491911,def5
5.06706,0.0495028,def5
5.05445,0.0498054,def5
5.04215,0.050099,def5
5.03015,0.0503838,def5
5.01847,0.05066,def5
5.00709,0.0509278,def5
4.99603,0.0511872,def5
4.98526,0.0514386,def5
4.9748,0.0516821,def5
4.96464,0.051918,def5
4.95477,0.0521464,def5
4.94518,0.0523676,def5
4.93588,0.0525818,def5
4.92685,0.0527893,def5
4.91809,0.0529902,def5
4.9096,0.0531847,def5
4.90135,0.0533731,def5
4.89336,0.0535556,def5
4.8856,0.0537325,def5
4.87807,0.0539038,def5
4.87078,0.0540699,def5
4.86369,0.0542309,def5
4.85682,0.054387,def5
4.85015,0.0545384,def5
4.84367,0.0546853,def5
4.83739,0.0548278,def5
4.83128,0.0549662,def5
4.82535,0.0551006,def5
4.81959,0.0552311,def5
4.81398,0.055358,def5
4.80853,0.0554814,def5
4.80323,0.0556013,def5
4.79808,0.0557181,def5
4.79306,0.0558317,def5
4.78817,0.0559423,def5
4.7834,0.0560501,def5
4.77876,0.0561552,def5
4.77423,0.0562576,def5
4.76982,0.0563576,def5
4.76551,0.0564551,def5
4.7613,0.0565503,def5
4.75719,0.0566434,def5
4.75318,0.0567343,def5
4.74925,0.0568232,def5
4.74541,0.0569102,def5
4.74166,0.0569953,def5
4.73798,0.0570786,def5
4.73438,0.0571603,def5
4.73085,0.0572403,def5
4.72739,0.0573187,def5
4.724,0.0573957,def5
4.72067,0.0574712,def5
4.7174,0.0575454,def5
4.7142,0.0576182,def5
4.71104,0.0576897,def5
4.70795,0.0577601,def5
4.7049,0.0578293,def5
4.70191,0.0578974,def5
4.69896,0.0579644,def5
4.69606,0.0580303,def5
4.6932,0.0580953,def5
4.69038,0.0581594,def5
4.68761,0.0582225,def5
4.68487,0.0582848,def5
4.68218,0.0583462,def5
4.67951,0.0584068,def5
4.67689,0.0584667,def5
4.67429,0.0585258,def5
4.67173,0.0585842,def5
4.6692,0.0586419,def5
4.6667,0.0586989,def5
4.66423,0.0587554,def5
4.66178,0.0588112,def5
4.65937,0.0588664,def5
4.65697,0.058921,def5
4.6546,0.0589751,def5
4.65226,0.0590287,def5
4.64994,0.0590817,def5
4.64764,0.0591343,def5
4.64536,0.0591864,def5
4.6431,0.0592381,def5
4.64087,0.0592893,def5
4.63865,0.05934,def5
4.63645,0.0593904,def5
4.63427,0.0594404,def5
4.6321,0.05949,def5
4.62995,0.0595392,def5
4.62782,0.0595881,def5
4.6257,0.0596367,def5
4.6236,0.0596849,def5
