pH,mu,level
4.70917,0.0647198,def4
4.70788,0.0647584,def4
4.70659,0.064797,def4
4.7053,0.0648356,def4
4.70401,0.0648742,def4
4.70272,0.0649128,def4
4.70144,0.0649514,def4
4.70015,0.0649899,def4
4.69886,0.0650285,def4
4.69758,0.065067,def4
4.69629,0.0651056,def4
4.695,0.0651441,def4
4.69372,0.0651826,def4
4.69243,0.0652211,def4
4.69115,0.0652596,def4
4.68986,0.0652981,def4
4.68858,0.0653365,def4
4.68729,0.065375,def4
4.68601,0.0654135,def4
4.68472,0.0654519,def4
4.68344,0.0654904,def4
4.68216,0.0655288,def4
4.68087,0.0655672,def4
4.67959,0.0656056,def4
4.67831,0.065644,def4
4.67703,0.0656824,def4
4.67575,0.0657208,def4
4.67446,0.0657592,def4
4.67318,0.0657975,def4
4.6719,0.0658359,def4
4.67062,0.0658743,def4
4.66934,0.0659126,def4
4.66806,0.0659509,def4
4.66678,0.0659893,def4
4.6655,0.0660276,def4
4.66422,0.0660659,def4
4.66295,0.0661042,def4
4.66167,0.0661425,def4
4.66039,0.0661808,def4
4.65911,0.0662191,def4
4.65783,0.0662573,def4
4.65656,0.0662956,def4
4.65528,0.0663338,def4
4.654,0.0663721,def4
4.65273,0.0664103,def4
4.65145,0.0664486,def4
4.65017,0.0664868,def4
4.6489,0.066525,def4
4.64762,0.0665632,def4
4.64635,0.0666014,def4
4.64508,0.0666396,def4
4.6438,0.0666778,def4
4.64253,0.0667159,def4
4.64125,0.0667541,def4
4.63998,0.0667923,def4
4.63871,0.0668304,def4
4.63743,0.0668685,def4
4.63616,0.0669067,def4
4.63489,0.0669448,def4
4.63362,0.0669829,def4
4.63235,0.067021,def4
4.63108,0.0670591,def4
4.62981,0.0670972,def4
4.62854,0.0671353,def4
4.62727,0.0671734,def4
4.626,0.0672114,def4
4.62473,0.0672495,def4
4.62346,0.0672875,def4
4.62219,0.0673256,def4
4.62092,0.0673636,def4
4.61965,0.0674016,def4
4.61839,0.0674396,def4
4.61712,0.0674776,def4
4.61585,0.0675156,def4
4.61459,0.0675536,def4
4.61332,0.0675916,def4
4.61205,0.0676296,def4
4.61079,0.0676675,def4
4.60952,0.0677055,def4
4.60826,0.0677434,def4
4.60699,0.0677813,def4
4.60573,0.0678193,def4
4.60447,0.0678572,def4
4.6032,0.0678951,def4
4.60194,0.067933,def4
