pH,mu,level
5.44936,0.0640765,def0
5.4494,0.0641221,def0
5.44943,0.0641675,def0
5.44947,0.0642128,def0
5.44951,0.0642579,def0
5.44954,0.064303,def0
5.44958,0.0643479,def0
5.44961,0.0643927,def0
5.44965,0.0644374,def0
5.44969,0.064482,def0
5.44972,0.0645266,def0
5.44976,0.064571,def0
5.44979,0.0646153,def0
5.44983,0.0646595,def0
5.44986,0.0647036,def0
5.4499,0.0647476,def0
5.44994,0.0647916,def0
5.44997,0.0648355,def0
5.45001,0.0648793,def0
5.45004,0.064923,def0
5.45007,0.0649666,def0
5.45011,0.0650102,def0
5.45014,0.0650537,def0
5.45018,0.0650972,def0
5.45021,0.0651405,def0
5.45025,0.0651839,def0
5.45028,0.0652271,def0
5.45031,0.0652703,def0
5.45035,0.0653134,def0
5.45038,0.0653565,def0
5.45042,0.0653995,def0
5.45045,0.0654425,def0
5.45048,0.0654855,def0
5.45052,0.0655283,def0
5.45055,0.0655712,def0
5.45058,0.0656139,def0
5.45062,0.0656567,def0
5.45065,0.0656994,def0
5.45068,0.0657421,def0
5.45072,0.0657847,def0
5.45075,0.0658273,def0
5.45078,0.0658698,def0
5.45082,0.0659123,def0
5.45085,0.0659548,def0
5.45088,0.0659972,def0
5.45091,0.0660396,def0
5.45095,0.066082,def0
5.45098,0.0661243,def0
5.45101,0.0661667,def0
5.45104,0.066209,def0
5.45108,0.0662512,def0
5.45111,0.0662934,def0
5.45114,0.0663357,def0
5.45117,0.0663778,def0
5.4512,0.06642,def0
5.45124,0.0664621,def0
5.45127,0.0665043,def0
5.4513,0.0665463,def0
5.45133,0.0665884,def0
5.45136,0.0666305,def0
5.4514,0.0666725,def0
5.45143,0.0667145,def0
5.45146,0.0667565,def0
5.45149,0.0667985,def0
5.45152,0.0668405,def0
5.45155,0.0668824,def0
5.45159,0.0669244,def0
5.45162,0.0669663,def0
5.45165,0.0670082,def0
5.45168,0.0670501,def0
5.45171,0.067092,def0
5.45174,0.0671339,def0
5.45177,0.0671757,def0
5.4518,0.0672176,def0
5.45184,0.0672594,def0
5.45187,0.0673012,def0
5.4519,0.067343,def0
5.45193,0.0673849,def0
5.45196,0.0674267,def0
5.45199,0.0674685,def0
5.45202,0.0675102,def0
5.45205,0.067552,def0
5.45208,0.0675938,def0
5.45211,0.0676356,def0
5.45214,0.0676773,def0
5.45217,0.0677191,def0
5.45221,0.0677608,def0
5.45224,0.0678026,def0
5.45227,0.0678443,def0
5.4523,0.067886,def0
5.45233,0.0679278,def0
5.45236,0.0679695,def0
5.45239,0.0680112,def0
5.45242,0.068053,def0
5.45245,0.0680947,def0
5.45248,0.0681364,def0
5.45251,0.0681781,def0
5.45254,0.0682198,def0
5.45257,0.0682615,def0
5.4526,0.0683033,def0
5.45263,0.068345,def0
5.45266,0.0683867,def0
5.45269,0.0684284,def0
5.45272,0.0684701,def0
5.45275,0.0685118,def0
5.45278,0.0685535,def0
5.45281,0.0685952,def0
5.45284,0.068637,def0
5.45287,0.0686787,def0
5.4529,0.0687204,def0
5.45293,0.0687621,def0
5.45296,0.0688038,def0
5.45299,0.0688456,def0
5.45302,0.0688873,def0
5.45305,0.068929,def0
5.45308,0.0689707,def0
5.45311,0.0690125,def0
5.45313,0.0690542,def0
5.45316,0.069096,def0
5.45319,0.0691377,def0
5.45322,0.0691794,def0
5.45325,0.0692212,def0
5.45328,0.0692629,def0
5.45331,0.0693047,def0
5.45334,0.0693465,def0
5.45337,0.0693882,def0
5.4534,0.06943,def0
5.45343,0.0694718,def0
5.45346,0.0695136,def0
5.45349,0.0695553,def0
5.45351,0.0695971,def0
5.45354,0.0696389,def0
5.45357,0.0696807,def0
5.4536,0.0697225,def0
5.45363,0.0697643,def0
5.45366,0.0698061,def0
5.45369,0.069848,def0
5.45372,0.0698898,def0
5.45375,0.0699316,def0
5.45377,0.0699735,def0
5.4538,0.0700153,def0
5.45383,0.0700571,def0
5.45386,0.070099,def0
5.45389,0.0701409,def0
5.45392,0.0701827,def0
5.45395,0.0702246,def0
5.45398,0.0702665,def0
5.454,0.0703084,def0
5.45403,0.0703503,def0
5.45406,0.0703922,def0
5.45409,0.0704341,def0
5.45412,0.070476,def0
5.45415,0.0705179,def0
5.45417,0.0705598,def0
5.4542,0.0706018,def0
5.45423,0.0706437,def0
5.45426,0.0706857,def0
5.45429,0.0707276,def0
5.45432,0.0707696,def0
5.45434,0.0708116,def0
5.45437,0.0708535,def0
5.4544,0.0708955,def0
5.45443,0.0709375,def0
5.45446,0.0709795,def0
5.45448,0.0710215,def0
5.45451,0.0710636,def0
5.45454,0.0711056,def0
5.45457,0.0711476,def0
5.4546,0.0711896,def0
5.45462,0.0712317,def0
5.45465,0.0712738,def0
5.45468,0.0713158,def0
5.45471,0.0713579,def0
5.45474,0.0714,def0
5.45476,0.0714421,def0
5.45479,0.0714841,def0
5.45482,0.0715263,def0
5.45485,0.0715684,def0
5.45487,0.0716105,def0
5.4549,0.0716526,def0
5.45493,0.0716947,def0
5.45496,0.0717369,def0
5.45498,0.071779,def0
5.45501,0.0718212,def0
5.45504,0.0718634,def0
5.45507,0.0719056,def0
5.45509,0.0719477,def0
5.45512,0.0719899,def0
5.45515,0.0720321,def0
5.45518,0.0720743,def0
5.4552,0.0721166,def0
5.45523,0.0721588,def0
5.45526,0.072201,def0
5.45529,0.0722433,def0
5.45531,0.0722855,def0
5.45534,0.0723278,def0
5.45537,0.0723701,def0
5.45539,0.0724123,def0
5.45542,0.0724546,def0
5.45545,0.0724969,def0
5.45548,0.0725392,def0
5.4555,0.0725815,def0
5.45553,0.0726239,def0
5.45556,0.0726662,def0
5.45558,0.0727085,def0
5.45561,0.0727509,def0
5.45564,0.0727932,def0
5.45566,0.0728356,def0
5.45569,0.072878,def0
5.45572,0.0729203,def0
5.45574,0.0729627,def0
5.45577,0.0730051,def0
5.4558,0.0730475,def0
5.45583,0.07309,def0
5.45585,0.0731324,def0
5.45588,0.0731748,def0
5.45591,0.0732173,def0
5.45593,0.0732597,def0
5.45596,0.0733022,def0
5.45599,0.0733446,def0
5.45601,0.0733871,def0
5.45604,0.0734296,def0
5.45606,0.0734721,def0
5.45609,0.0735146,def0
5.45612,0.0735571,def0
5.45614,0.0735996,def0
5.45617,0.0736421,def0
5.4562,0.0736847,def0
5.45622,0.0737272,def0
5.45625,0.0737698,def0
5.45628,0.0738123,def0
5.4563,0.0738549,def0
5.45633,0.0738975,def0
5.45635,0.0739401,def0
5.45638,0.0739827,def0
5.45641,0.0740253,def0
5.45643,0.0740679,def0
5.45646,0.0741105,def0
5.45649,0.0741531,def0
5.45651,0.0741958,def0
5.45654,0.0742384,def0
5.45656,0.0742811,def0
5.45659,0.0743237,def0
5.45662,0.0743664,def0
5.45664,0.0744091,def0
5.45667,0.0744518,def0
5.45669,0.0744945,def0
5.45672,0.0745372,def0
5.45674,0.0745799,def0
5.45677,0.0746226,def0
5.4568,0.0746653,def0
5.45682,0.0747081,def0
5.45685,0.0747508,def0
5.45687,0.0747936,def0
5.4569,0.0748363,def0
5.45692,0.0748791,def0
5.45695,0.0749219,def0
5.45698,0.0749647,def0
5.457,0.0750075,def0
5.45703,0.0750503,def0
5.45705,0.0750931,def0
5.45708,0.0751359,def0
5.4571,0.0751788,def0
5.45713,0.0752216,def0
5.45715,0.0752644,def0
5.45718,0.0753073,def0
5.45721,0.0753501,def0
5.45723,0.075393,def0
5.45726,0.0754359,def0
