pH,mu,level
5.42,0.0400315,def0
5.42192,0.041446,def0
5.42309,0.0421058,def0
5.42419,0.0427487,def0
5.42524,0.0433751,def0
5.42623,0.0439853,def0
5.42718,0.0445796,def0
5.42808,0.045158,def0
5.42894,0.0457208,def0
5.42975,0.0462682,def0
5.43053,0.0468002,def0
5.43127,0.047317,def0
5.43198,0.0478189,def0
5.43265,0.0483059,def0
5.43329,0.0487783,def0
5.4339,0.0492364,def0
5.43449,0.0496802,def0
5.43504,0.05011,def0
5.43557,0.0505262,def0
5.43608,0.050929,def0
5.43656,0.0513186,def0
5.43702,0.0516955,def0
5.43746,0.0520597,def0
5.43788,0.0524118,def0
5.43828,0.0527519,def0
5.43866,0.0530805,def0
5.43903,0.0533979,def0
5.43938,0.0537043,def0
5.43971,0.0540002,def0
5.44003,0.0542858,def0
5.44033,0.0545614,def0
5.44062,0.0548276,def0
5.4409,0.0550844,def0
5.44117,0.0553323,def0
5.44143,0.0555716,def0
5.44167,0.0558026,def0
5.44191,0.0560256,def0
5.44213,0.0562409,def0
5.44235,0.0564488,def0
5.44255,0.0566496,def0
5.44275,0.0568436,def0
5.44294,0.057031,def0
5.44313,0.0572121,def0
5.4433,0.0573872,def0
5.44347,0.0575565,def0
5.44364,0.0577202,def0
5.44379,0.0578787,def0
5.44394,0.058032,def0
5.44409,0.0581805,def0
5.44423,0.0583244,def0
5.44436,0.0584638,def0
5.4445,0.0585989,def0
5.44462,0.05873,def0
5.44474,0.0588571,def0
5.44486,0.0589806,def0
5.44498,0.0591005,def0
5.44509,0.0592171,def0
5.44519,0.0593303,def0
5.4453,0.0594405,def0
5.4454,0.0595478,def0
5.4455,0.0596522,def0
5.44559,0.059754,def0
5.44568,0.0598531,def0
5.44577,0.0599499,def0
5.44586,0.0600442,def0
5.44594,0.0601364,def0
5.44603,0.0602264,def0
5.44611,0.0603144,def0
5.44619,0.0604005,def0
5.44626,0.0604847,def0
5.44634,0.0605671,def0
5.44641,0.0606479,def0
5.44648,0.060727,def0
5.44655,0.0608046,def0
5.44662,0.0608807,def0
5.44669,0.0609555,def0
5.44675,0.0610289,def0
5.44682,0.061101,def0
5.44688,0.0611719,def0
5.44694,0.0612416,def0
5.447,0.0613102,def0
5.44706,0.0613778,def0
5.44712,0.0614443,def0
5.44718,0.0615099,def0
5.44724,0.0615745,def0
5.44729,0.0616382,def0
5.44735,0.0617011,def0
5.4474,0.0617632,def0
5.44746,0.0618245,def0
5.44751,0.061885,def0
5.44756,0.0619448,def0
5.44761,0.062004,def0
5.44766,0.0620625,def0
5.44771,0.0621203,def0
5.44776,0.0621776,def0
5.44781,0.0622343,def0
5.44786,0.0622904,def0
5.44791,0.062346,def0
5.44796,0.0624011,def0
5.448,0.0624557,def0
5.44805,0.0625098,def0
5.4481,0.0625635,def0
5.44814,0.0626167,def0
5.44819,0.0626696,def0
5.44823,0.062722,def0
5.44827,0.0627741,def0
5.44832,0.0628258,def0
5.44836,0.0628771,def0
5.4484,0.0629281,def0
5.44845,0.0629787,def0
5.44849,0.0630291,def0
5.44853,0.0630791,def0
5.44857,0.0631289,def0
5.44862,0.0631784,def0
5.44866,0.0632276,def0
5.4487,0.0632765,def0
5.44874,0.0633252,def0
5.44878,0.0633736,def0
5.44882,0.0634219,def0
5.44886,0.0634699,def0
5.4489,0.0635176,def0
5.44894,0.0635652,def0
5.44898,0.0636126,def0
5.44902,0.0636597,def0
5.44905,0.0637067,def0
5.44909,0.0637535,def0
5.44913,0.0638001,def0
5.44917,0.0638466,def0
5.44921,0.0638929,def0
5.44925,0.063939,def0
5.44928,0.063985,def0
5.44932,0.0640308,def0
