pKa
1.25
1.88
1.96
2.12
4.19
2.28
4.36
2.45
3.13
3.65
3.74
3.74
4.21
4.25
4.27
4.5
4.76
4.76
4.82
4.87
5.22
5.34
5.58
5.64
5.78
6.16
6.4
6.87
7.21
7.4
7.71
7.93
8.18
8.3
8.82
8.95
9.04
9.21
9.24
9.25
9.56
9.6
9.6
9.6
9.62
9.67
9.69
9.84
9.85
9.85
9.93
9.95
10.07
10.15
10.53
10.72
10.85
11
11.3
11.4
12.05
12.13
12.48
12.67
