"","time","POM","MOM","QOM","DOM","MB","EP","EM","IC","Tot"
"1",0,4.71,17.67,0,0.148,0.52,0.052,0.052,0,23.484
"2",1,4.69765234863087,17.7328101257723,0.000427395812630993,0.0438282297344467,0.39132395541431,0.0571177772523646,0.0571177772523646,0.171722390130718,23.3122776098693
"3",2,4.62618449349252,17.800031879213,0.000676578531257392,0.0412193862663572,0.306543094734109,0.0609686921871217,0.0609686921871217,0.255407183388559,23.2285928166114
"4",3,4.52684154564368,17.8698024799516,0.000929629281056705,0.0434650179705933,0.258490191855455,0.0640867762679149,0.0640867762679149,0.324297582761737,23.1597024172383
"5",4,4.41339373634518,17.941027250575,0.00119868288720159,0.0463716098525815,0.229302594577191,0.0667748659039498,0.0667748659039498,0.387156393954915,23.0968436060451
"6",5,4.29223090761226,18.0130099939196,0.00148488560862266,0.0491423005968549,0.210722953558858,0.0691948238195758,0.0691948238195758,0.447019311064689,23.0369806889353
"7",6,4.16678373351214,18.0852747447706,0.00178636994473534,0.0514763894051008,0.198541461807171,0.0714408888724123,0.0714408888724123,0.505255522815433,22.9787444771846
"8",7,4.03909437878707,18.1574777483515,0.00210014872976608,0.0532768459632358,0.190386001182906,0.0735711294490828,0.0735711294490828,0.562522618087384,22.9214773819126
"9",8,3.91047263892305,18.2293590942074,0.00242300887075484,0.0545541887702977,0.184817596465165,0.0756225145132188,0.0756225145132188,0.619128443736944,22.8648715562631
"10",9,3.78180577802972,18.3007143029451,0.00275198144145515,0.055370966088718,0.180921446712935,0.0776188872564728,0.0776188872564728,0.675197750269117,22.8088022497309
"11",10,3.65372266424638,18.3713766492753,0.0030845444214586,0.0558091283955962,0.178098171522838,0.0795756312528055,0.0795756312528055,0.730757579632849,22.7532424203672
"12",11,3.52668625008447,18.4412060025918,0.00341867344100733,0.0559497374675317,0.175949920201828,0.0815025406828097,0.0815025406828097,0.78578433484777,22.6982156651522
"13",12,3.40104925967889,18.5100816621651,0.00375280342756176,0.0558630651438403,0.174211895390947,0.0834056863464744,0.0834056863464744,0.840229941500766,22.6437700584992
"14",13,3.27708991256487,18.5778975399365,0.0040857468190988,0.0556056157154687,0.172707579098163,0.0852886873994737,0.0852886873994737,0.894036231067004,22.589963768933
"15",14,3.15503315842945,18.6445593606248,0.00441661472938108,0.0552204653901156,0.171321028739809,0.0871535118573591,0.0871535118573591,0.947142348371763,22.5368576516282
"16",15,3.03506531075566,18.7099827514331,0.00474474311275933,0.0547388465710002,0.169977153409146,0.089001052575728,0.089001052575728,0.999489089566848,22.4845109104332
"17",16,2.91734396691726,18.7740918974409,0.00506962624045842,0.0541835291114654,0.16862755195017,0.0908315224413522,0.0908315224413522,1.05102038345707,22.4329796165429
"18",17,2.80200327604028,18.8368189433734,0.00539087745885357,0.053570765953166,0.167242583440255,0.0926446792890005,0.0926446792890005,1.10168419515602,22.382315804844
"19",18,2.68915870587661,18.8981033879227,0.00570819220230917,0.0529121506719612,0.165804336080552,0.0944400268723051,0.0944400268723051,1.1514331735013,22.3325668264987
"20",19,2.57890988946454,18.957891620729,0.00602132495488951,0.052216089796882,0.16430258203553,0.0962169239306554,0.0962169239306554,1.20022464515787,22.2837753548421
"21",20,2.47134139577312,19.0161369855373,0.00633007515444521,0.0514894288528343,0.162732629801538,0.0979746342397249,0.0979746342397249,1.24802021640128,22.2359797835987
"22",21,2.36652494183105,19.0727992634642,0.00663427582615634,0.0507374921597674,0.161093082939354,0.0997123967302725,0.0997123967302725,1.2947861503189,22.1892138496811
"23",22,2.26452373473338,19.1278423780556,0.00693378217259286,0.0499641584966245,0.159385507399886,0.101429384039617,0.101429384039617,1.34049167106268,22.1435083289373
"24",23,2.16537470691648,19.181245004621,0.00722850601883649,0.0491720691512134,0.157611717462702,0.103125039256041,0.103125039256041,1.3851179173177,22.0988820826823
"25",24,2.06912613981909,19.2329788422943,0.00751832123210041,0.048365464580988,0.155775869620465,0.104798466477613,0.104798466477613,1.42863842949783,22.0553615705022
"26",25,1.97580105381432,19.2830299663766,0.00780315907102902,0.0475463007942645,0.153882240425601,0.106449048821608,0.106449048821608,1.47103918187501,22.012960818125
"27",26,1.8854150570806,19.3313886379377,0.00808295435134944,0.0467178666186668,0.151934732258373,0.108076206358491,0.108076206358491,1.5123083390363,21.9716916609637
"28",27,1.79797545437784,19.3780497240963,0.00835766421258752,0.0458813597833482,0.149938513685009,0.109679389236085,0.109679389236085,1.55243850537277,21.9315614946272
"29",28,1.71348094993578,19.4230129783318,0.00862724990320107,0.0450395724133533,0.147898184665052,0.111258098508262,0.111258098508262,1.59142486773428,21.8925751322657
"30",29,1.63192177964775,19.4662829785567,0.00889168710693987,0.0441944439282663,0.145818819797519,0.112811872754739,0.112811872754739,1.62926654545336,21.8547334545466
"31",30,1.55328021428966,19.5078688795699,0.0091509643332749,0.043347811507711,0.143705331907762,0.114340320929667,0.114340320929667,1.66596615653239,21.8180338434676
"32",31,1.47753192297001,19.5477836513184,0.00940508063273931,0.0425014504128393,0.141562419383127,0.115843114769877,0.115843114769877,1.70152924574316,21.7824707542569
"33",32,1.40464546955553,19.5860443212289,0.0096540455335998,0.0416571089402944,0.139394782687129,0.117319973946362,0.117319973946362,1.7359643241618,21.7480356758382
"34",33,1.33458239024249,19.6226719526365,0.0098978772469934,0.0408166573221308,0.137207056018484,0.118770661315979,0.118770661315979,1.76928274390149,21.7147172560985
"35",34,1.26729964659653,19.6576903003686,0.0101366067080214,0.0399811164212921,0.135003816067754,0.120195004377766,0.120195004377766,1.80149850508231,21.6825014949177
