pH,mu,level
5.42,0.0400315,def2
5.413,0.041346,def2
5.40991,0.0419601,def2
5.40685,0.0425591,def2
5.40382,0.0431433,def2
5.40082,0.043713,def2
5.39785,0.0442683,def2
5.39493,0.0448092,def2
5.39204,0.045336,def2
5.38919,0.0458486,def2
5.38639,0.0463472,def2
5.38364,0.0468319,def2
5.38094,0.0473028,def2
5.37829,0.04776,def2
5.37569,0.0482036,def2
5.37316,0.0486339,def2
5.37067,0.049051,def2
5.36825,0.0494551,def2
5.36588,0.0498464,def2
5.36357,0.0502252,def2
5.36132,0.0505917,def2
5.35913,0.0509461,def2
5.357,0.0512888,def2
5.35493,0.05162,def2
5.35291,0.05194,def2
5.35096,0.0522491,def2
5.34906,0.0525476,def2
5.34721,0.0528359,def2
5.34542,0.0531141,def2
5.34369,0.0533827,def2
5.342,0.0536419,def2
5.34037,0.0538921,def2
5.33879,0.0541335,def2
5.33726,0.0543665,def2
5.33578,0.0545914,def2
5.33434,0.0548084,def2
5.33295,0.0550178,def2
5.3316,0.05522,def2
5.33029,0.0554152,def2
5.32903,0.0556036,def2
5.3278,0.0557857,def2
5.32662,0.0559615,def2
5.32547,0.0561314,def2
5.32435,0.0562956,def2
5.32327,0.0564544,def2
5.32222,0.056608,def2
5.32121,0.0567565,def2
5.32022,0.0569003,def2
5.31927,0.0570395,def2
5.31834,0.0571743,def2
5.31744,0.057305,def2
5.31656,0.0574316,def2
5.31571,0.0575545,def2
5.31488,0.0576737,def2
5.31408,0.0577894,def2
5.3133,0.0579018,def2
5.31253,0.058011,def2
5.31179,0.0581172,def2
5.31107,0.0582205,def2
5.31036,0.0583211,def2
5.30968,0.058419,def2
5.30901,0.0585144,def2
5.30835,0.0586074,def2
5.30771,0.0586982,def2
5.30709,0.0587868,def2
5.30647,0.0588733,def2
5.30588,0.0589578,def2
5.30529,0.0590405,def2
5.30472,0.0591213,def2
5.30415,0.0592005,def2
5.3036,0.059278,def2
5.30306,0.0593539,def2
5.30253,0.0594284,def2
5.30201,0.0595014,def2
5.3015,0.0595731,def2
5.30099,0.0596435,def2
5.3005,0.0597126,def2
5.30001,0.0597806,def2
5.29953,0.0598474,def2
5.29906,0.0599132,def2
5.2986,0.059978,def2
5.29814,0.0600418,def2
5.29768,0.0601046,def2
5.29724,0.0601665,def2
5.2968,0.0602276,def2
5.29636,0.0602879,def2
5.29593,0.0603474,def2
5.29551,0.0604062,def2
5.29509,0.0604642,def2
5.29467,0.0605216,def2
5.29426,0.0605783,def2
5.29385,0.0606344,def2
5.29345,0.0606898,def2
5.29305,0.0607447,def2
5.29266,0.0607991,def2
5.29226,0.0608529,def2
5.29188,0.0609063,def2
5.29149,0.0609591,def2
5.29111,0.0610115,def2
5.29073,0.0610634,def2
5.29035,0.061115,def2
5.28998,0.0611661,def2
5.28961,0.0612168,def2
5.28924,0.0612671,def2
5.28887,0.0613171,def2
5.28851,0.0613667,def2
5.28815,0.061416,def2
5.28779,0.061465,def2
5.28743,0.0615136,def2
5.28708,0.061562,def2
5.28672,0.0616101,def2
5.28637,0.0616579,def2
5.28602,0.0617054,def2
5.28567,0.0617527,def2
5.28532,0.0617998,def2
5.28498,0.0618466,def2
5.28463,0.0618932,def2
5.28429,0.0619395,def2
5.28395,0.0619857,def2
5.28361,0.0620317,def2
5.28327,0.0620774,def2
5.28293,0.062123,def2
5.2826,0.0621684,def2
5.28226,0.0622136,def2
5.28193,0.0622586,def2
5.28159,0.0623035,def2
5.28126,0.0623482,def2
5.28093,0.0623928,def2
5.2806,0.0624372,def2
5.28027,0.0624815,def2
5.27994,0.0625257,def2
5.27961,0.0625697,def2
5.27928,0.0626136,def2
5.27896,0.0626574,def2
5.27863,0.062701,def2
5.2783,0.0627446,def2
5.27798,0.062788,def2
5.27766,0.0628313,def2
5.27733,0.0628745,def2
5.27701,0.0629176,def2
5.27669,0.0629607,def2
5.27636,0.0630036,def2
5.27604,0.0630464,def2
5.27572,0.0630892,def2
5.2754,0.0631318,def2
5.27508,0.0631744,def2
5.27476,0.0632169,def2
5.27444,0.0632594,def2
5.27412,0.0633017,def2
5.2738,0.063344,def2
5.27349,0.0633862,def2
5.27317,0.0634284,def2
5.27285,0.0634705,def2
5.27253,0.0635125,def2
5.27222,0.0635544,def2
5.2719,0.0635963,def2
5.27158,0.0636382,def2
5.27126,0.06368,def2
5.27095,0.0637217,def2
5.27063,0.0637634,def2
5.27032,0.0638051,def2
5.27,0.0638467,def2
5.26969,0.0638882,def2
5.26937,0.0639297,def2
5.26905,0.0639712,def2
5.26874,0.0640126,def2
5.26842,0.064054,def2
5.26811,0.0640954,def2
5.2678,0.0641367,def2
5.26748,0.064178,def2
5.26717,0.0642192,def2
5.26685,0.0642604,def2
5.26654,0.0643016,def2
5.26622,0.0643427,def2
5.26591,0.0643839,def2
5.26559,0.064425,def2
5.26528,0.064466,def2
5.26497,0.064507,def2
5.26465,0.0645481,def2
5.26434,0.064589,def2
5.26402,0.06463,def2
5.26371,0.0646709,def2
5.2634,0.0647119,def2
5.26308,0.0647528,def2
5.26277,0.0647936,def2
5.26245,0.0648345,def2
5.26214,0.0648753,def2
5.26182,0.0649162,def2
5.26151,0.064957,def2
5.2612,0.0649978,def2
5.26088,0.0650385,def2
5.26057,0.0650793,def2
5.26025,0.06512,def2
5.25994,0.0651608,def2
5.25962,0.0652015,def2
5.25931,0.0652422,def2
5.25899,0.0652829,def2
5.25868,0.0653236,def2
5.25836,0.0653643,def2
5.25805,0.0654049,def2
5.25773,0.0654456,def2
5.25742,0.0654862,def2
5.2571,0.0655269,def2
5.25679,0.0655675,def2
5.25647,0.0656081,def2
5.25616,0.0656487,def2
5.25584,0.0656894,def2
5.25552,0.06573,def2
5.25521,0.0657706,def2
5.25489,0.0658112,def2
5.25458,0.0658518,def2
5.25426,0.0658923,def2
5.25394,0.0659329,def2
5.25363,0.0659735,def2
5.25331,0.0660141,def2
5.25299,0.0660547,def2
5.25267,0.0660952,def2
5.25236,0.0661358,def2
5.25204,0.0661764,def2
5.25172,0.066217,def2
5.2514,0.0662575,def2
5.25109,0.0662981,def2
5.25077,0.0663387,def2
5.25045,0.0663793,def2
5.25013,0.0664198,def2
5.24981,0.0664604,def2
5.24949,0.066501,def2
5.24917,0.0665415,def2
5.24886,0.0665821,def2
5.24854,0.0666227,def2
5.24822,0.0666633,def2
5.2479,0.0667039,def2
5.24758,0.0667445,def2
5.24726,0.066785,def2
5.24694,0.0668256,def2
5.24662,0.0668662,def2
5.24629,0.0669068,def2
5.24597,0.0669474,def2
5.24565,0.0669881,def2
5.24533,0.0670287,def2
5.24501,0.0670693,def2
5.24469,0.0671099,def2
5.24437,0.0671505,def2
5.24404,0.0671912,def2
5.24372,0.0672318,def2
5.2434,0.0672724,def2
5.24308,0.0673131,def2
5.24275,0.0673537,def2
5.24243,0.0673944,def2
5.24211,0.0674351,def2
5.24178,0.0674757,def2
5.24146,0.0675164,def2
5.24113,0.0675571,def2
5.24081,0.0675978,def2
5.24049,0.0676385,def2
5.24016,0.0676792,def2
5.23984,0.0677199,def2
5.23951,0.0677606,def2
5.23919,0.0678014,def2
5.23886,0.0678421,def2
5.23853,0.0678828,def2
5.23821,0.0679236,def2
5.23788,0.0679643,def2
5.23756,0.0680051,def2
5.23723,0.0680459,def2
5.2369,0.0680867,def2
5.23657,0.0681274,def2
5.23625,0.0681682,def2
5.23592,0.068209,def2
5.23559,0.0682499,def2
5.23526,0.0682907,def2
5.23493,0.0683315,def2
5.23461,0.0683724,def2
5.23428,0.0684132,def2
5.23395,0.0684541,def2
5.23362,0.0684949,def2
5.23329,0.0685358,def2
5.23296,0.0685767,def2
5.23263,0.0686176,def2
5.2323,0.0686585,def2
5.23197,0.0686994,def2
5.23164,0.0687403,def2
5.23131,0.0687812,def2
5.23098,0.0688222,def2
5.23064,0.0688631,def2
5.23031,0.0689041,def2
5.22998,0.0689451,def2
5.22965,0.0689861,def2
5.22932,0.069027,def2
5.22898,0.069068,def2
5.22865,0.069109,def2
5.22832,0.0691501,def2
5.22798,0.0691911,def2
5.22765,0.0692321,def2
5.22731,0.0692732,def2
5.22698,0.0693142,def2
5.22665,0.0693553,def2
5.22631,0.0693964,def2
5.22598,0.0694375,def2
5.22564,0.0694786,def2
5.22531,0.0695197,def2
5.22497,0.0695608,def2
5.22463,0.0696019,def2
5.2243,0.0696431,def2
5.22396,0.0696842,def2
5.22362,0.0697254,def2
5.22329,0.0697666,def2
5.22295,0.0698078,def2
5.22261,0.0698489,def2
5.22227,0.0698901,def2
5.22194,0.0699314,def2
