pH,mu,level
5.2216,0.0699726,def2
5.22126,0.0700138,def2
5.22092,0.0700551,def2
5.22058,0.0700963,def2
5.22024,0.0701376,def2
5.2199,0.0701789,def2
5.21956,0.0702202,def2
5.21922,0.0702615,def2
5.21888,0.0703028,def2
5.21854,0.0703441,def2
5.2182,0.0703854,def2
5.21786,0.0704268,def2
5.21752,0.0704681,def2
5.21718,0.0705095,def2
5.21684,0.0705509,def2
5.21649,0.0705922,def2
5.21615,0.0706336,def2
5.21581,0.070675,def2
5.21546,0.0707165,def2
5.21512,0.0707579,def2
5.21478,0.0707993,def2
5.21443,0.0708408,def2
5.21409,0.0708822,def2
5.21375,0.0709237,def2
5.2134,0.0709652,def2
5.21306,0.0710067,def2
5.21271,0.0710482,def2
5.21237,0.0710897,def2
5.21202,0.0711312,def2
5.21168,0.0711728,def2
5.21133,0.0712143,def2
5.21098,0.0712559,def2
5.21064,0.0712974,def2
5.21029,0.071339,def2
5.20994,0.0713806,def2
5.2096,0.0714222,def2
5.20925,0.0714638,def2
5.2089,0.0715055,def2
5.20855,0.0715471,def2
5.2082,0.0715887,def2
5.20785,0.0716304,def2
5.20751,0.0716721,def2
5.20716,0.0717137,def2
5.20681,0.0717554,def2
5.20646,0.0717971,def2
5.20611,0.0718388,def2
5.20576,0.0718805,def2
5.20541,0.0719223,def2
5.20506,0.071964,def2
5.2047,0.0720058,def2
5.20435,0.0720475,def2
5.204,0.0720893,def2
5.20365,0.0721311,def2
5.2033,0.0721729,def2
5.20295,0.0722147,def2
5.20259,0.0722565,def2
5.20224,0.0722983,def2
5.20189,0.0723402,def2
5.20153,0.072382,def2
5.20118,0.0724239,def2
5.20083,0.0724657,def2
5.20047,0.0725076,def2
5.20012,0.0725495,def2
5.19976,0.0725914,def2
5.19941,0.0726333,def2
5.19905,0.0726752,def2
5.1987,0.0727172,def2
5.19834,0.0727591,def2
5.19799,0.072801,def2
5.19763,0.072843,def2
5.19727,0.072885,def2
5.19692,0.072927,def2
5.19656,0.0729689,def2
5.1962,0.073011,def2
5.19585,0.073053,def2
5.19549,0.073095,def2
5.19513,0.073137,def2
5.19477,0.0731791,def2
5.19441,0.0732211,def2
5.19405,0.0732632,def2
5.19369,0.0733053,def2
5.19334,0.0733473,def2
5.19298,0.0733894,def2
5.19262,0.0734315,def2
5.19226,0.0734737,def2
5.1919,0.0735158,def2
5.19154,0.0735579,def2
5.19117,0.0736001,def2
5.19081,0.0736422,def2
5.19045,0.0736844,def2
