"","LITm","LITs","MICr","MICk","SOMp","SOMa","SOMc","CO2","INPUTS"
"1",0.497930002856183,4.03245382818425,0.0683349258215509,0.273132331590783,5.22829642573583,3.23839693872837,2.41554337043565,0.000285477207843122,0.000285388127853881
"2",0.497914450576893,4.03246119582091,0.0683406981543207,0.273132458070706,5.2282964289422,3.23839697649938,2.41554328075847,0.000285489287554079,0.000285388127853881
"3",0.497898858304252,4.03246851248137,0.0683464415683496,0.273132579937767,5.22829643603951,3.23839701942348,2.41554311226501,0.00028549735662725,0.000285388127853881
"4",0.497883226589416,4.03247577850128,0.0683521560179527,0.273132697094537,5.22829644700741,3.23839706747436,2.41554286554349,0.000285505372124267,0.000285388127853881
"5",0.497867555982687,4.03248299421763,0.0683578414585952,0.273132809444843,5.22829646182549,3.23839712062572,2.41554254118048,0.000285513333997665,0.000285388127853881
"6",0.497851847033499,4.03249015996868,0.0683634978468884,0.273132916893757,5.2282964804733,3.23839717885123,2.41554213976088,0.0002855212422023,0.000285388127853881
"7",0.4978361002904,4.03249727609397,0.0683691251405853,0.273133019347594,5.22829650293036,3.23839724212456,2.41554166186796,0.000285529096695337,0.000285388127853881
"8",0.497820316301038,4.03250434293426,0.0683747232985771,0.273133116713906,5.22829652917612,3.23839731041938,2.41554110808334,0.00028553689743624,0.000285388127853881
"9",0.497804495612141,4.03251136083153,0.0683802922808892,0.273133208901475,5.22829655919,3.23839738370933,2.41554047898697,0.000285544644386763,0.000285388127853881
"10",0.497788638769504,4.03251833012892,0.0683858320486769,0.273133295820311,5.22829659295138,3.23839746196806,2.41553977515714,0.000285552337510934,0.000285388127853881
"11",0.497772746317975,4.03252525117075,0.0683913425642217,0.273133377381642,5.22829663043959,3.23839754516921,2.41553899717047,0.000285559976775046,0.000285388127853881
"12",0.497756818801432,4.03253212430243,0.068396823790927,0.273133453497912,5.22829667163392,3.2383976332864,2.41553814560193,0.000285567562147647,0.000285388127853881
"13",0.497740856762778,4.03253894987049,0.068402275693314,0.273133524082776,5.22829671651364,3.23839772629328,2.4155372210248,0.000285575093599527,0.000285388127853881
"14",0.497724860743917,4.03254572822252,0.0684076982370182,0.273133589051092,5.22829676505795,3.23839782416345,2.4155362240107,0.000285582571103708,0.000285388127853881
"15",0.497708831285741,4.03255245970715,0.0684130913887843,0.273133648318916,5.22829681724604,3.23839792687054,2.41553515512956,0.000285589994635429,0.000285388127853881
"16",0.497692768928118,4.03255914467403,0.068418455116463,0.273133701803499,5.22829687305704,3.23839803438816,2.41553401494962,0.000285597364172143,0.000285388127853881
"17",0.497676674209873,4.03256578347379,0.0684237893890063,0.273133749423279,5.22829693247006,3.23839814668993,2.41553280403748,0.000285604679693494,0.000285388127853881
"18",0.497660547668773,4.03257237645801,0.0684290941764634,0.273133791097877,5.22829699546419,3.23839826374945,2.41553152295801,0.000285611941181317,0.000285388127853881
"19",0.497644389841518,4.03257892397924,0.068434369449977,0.273133826748091,5.22829706201845,3.23839838554034,2.41553017227439,0.000285619148619619,0.000285388127853881
"20",0.497628201263717,4.03258542639091,0.0684396151817782,0.27313385629589,5.22829713211184,3.23839851203621,2.41552875254815,0.000285626301994569,0.000285388127853881
"21",0.497611982469882,4.03259188404733,0.0684448313451833,0.27313387966441,5.22829720572335,3.23839864321066,2.41552726433907,0.00028563340129449,0.000285388127853881
"22",0.497595733993409,4.03259829730368,0.0684500179145886,0.273133896777948,5.22829728283192,3.23839877903732,2.41552570820528,0.000285640446509845,0.000285388127853881
"23",0.497579456366563,4.03260466651596,0.068455174865467,0.273133907561955,5.22829736341645,3.23839891948979,2.41552408470317,0.000285647437633223,0.000285388127853881
"24",0.497563150120467,4.03261099204097,0.0684603021743629,0.273133911943032,5.22829744745585,3.23839906454168,2.41552239438745,0.000285654374659333,0.000285388127853881
"25",0.497546815785087,4.03261727423631,0.0684653998188888,0.273133909848927,5.22829753492894,3.23839921416663,2.41552063781111,0.000285661257584989,0.000285388127853881
"26",0.497530453889214,4.0326235134603,0.0684704677777201,0.273133901208522,5.22829762581458,3.23839936833825,2.41551881552544,0.000285668086409099,0.000285388127853881
"27",0.497514064960458,4.03262971007202,0.0684755060305915,0.273133885951838,5.22829772009156,3.23839952703017,2.41551692808002,0.000285674861132654,0.000285388127853881
"28",0.497497649525225,4.03263586443122,0.0684805145582921,0.273133864010021,5.22829781773865,3.23839969021603,2.4155149760227,0.000285681581758717,0.000285388127853881
"29",0.497481208108712,4.03264197689835,0.0684854933426616,0.273133835315338,5.22829791873461,3.23839985786945,2.41551295989962,0.000285688248292408,0.000285388127853881
"30",0.497464741234886,4.03264804783451,0.0684904423665853,0.273133799801177,5.22829802305818,3.2384000299641,2.41551088025521,0.000285694860740898,0.000285388127853881
"31",0.497448249426477,4.03265407760142,0.0684953616139903,0.273133757402034,5.22829813068805,3.23840020647361,2.41550873763216,0.000285701419113395,0.000285388127853881
"32",0.49743173320496,4.0326600665614,0.0685002510698405,0.273133708053514,5.22829824160291,3.23840038737166,2.41550653257146,0.000285707923421129,0.000285388127853881
"33",0.497415193090545,4.03266601507735,0.0685051107201327,0.273133651692322,5.22829835578143,3.23840057263192,2.41550426561233,0.000285714373677346,0.000285388127853881
"34",0.497398629602161,4.03267192351273,0.068509940551892,0.273133588256255,5.22829847320224,3.23840076222805,2.41550193729231,0.000285720769897295,0.000285388127853881
"35",0.497382043257445,4.03267779223152,0.0685147405531671,0.273133517684205,5.22829859384398,3.23840095613376,2.41549954814717,0.000285727112098211,0.000285388127853881
