Day,unprotectedC_fast,unprotectedC_slow,unprotectedC_deadmic,protectedC,CO2,microbeC
15127,0.000183754727706,2.20989696349e-05,0.00101856897385,3.57708671566,5.90714956734,0.00175577144115
15128,0.000183748360106,2.20981625391e-05,0.00101853848977,3.57697475879,5.90718697908,0.00175571630721
15129,0.000183741992727,2.20973554729e-05,0.0010185080066,3.57686280545,5.90722438965,0.001755661175
15130,0.000183735625568,2.20965484361e-05,0.00101847752434,3.57675085562,5.90726179905,0.00175560604453
15131,0.00018372925863,2.20957414288e-05,0.001018447043,3.57663890931,5.90729920727,0.00175555091579
15132,0.000183722891913,2.20949344509e-05,0.00101841656256,3.57652696652,5.90733661432,0.0017554957888
15133,0.000183716525416,2.20941275026e-05,0.00101838608304,3.57641502724,5.90737402019,0.00175544066354
15134,0.00018371015914,2.20933205837e-05,0.00101835560442,3.57630309148,5.90741142488,0.00175538554002
15135,0.000183703793084,2.20925136942e-05,0.00101832512672,3.57619115923,5.9074488284,0.00175533041824
15136,0.000183697427249,2.20917068343e-05,0.00101829464993,3.5760792305,5.90748623075,0.00175527529819
15137,0.000183691061635,2.20909000038e-05,0.00101826417404,3.57596730529,5.90752363192,0.00175522017988
15138,0.000183684696241,2.20900932028e-05,0.00101823369907,3.57585538359,5.90756103192,0.00175516506331
15139,0.000183678331068,2.20892864312e-05,0.00101820322501,3.57574346541,5.90759843074,0.00175510994848
15140,0.000183671966115,2.20884796891e-05,0.00101817275186,3.57563155074,5.90763582839,0.00175505483538
15141,0.000183665601383,2.20876729765e-05,0.00101814227962,3.57551963958,5.90767322486,0.00175499972402
15142,0.000183659236872,2.20868662933e-05,0.00101811180829,3.57540773195,5.90771062016,0.0017549446144
15143,0.000183652872581,2.20860596396e-05,0.00101808133787,3.57529582782,5.90774801428,0.00175488950652
15144,0.00018364650851,2.20852530154e-05,0.00101805086836,3.57518392722,5.90778540723,0.00175483440037
15145,0.00018364014466,2.20844464206e-05,0.00101802039976,3.57507203012,5.907822799,0.00175477929596
15146,0.000183633781031,2.20836398552e-05,0.00101798993207,3.57496013655,5.9078601896,0.00175472419328
15147,0.000183627417622,2.20828333194e-05,0.00101795946529,3.57484824648,5.90789757903,0.00175466909235
15148,0.000183621054434,2.2082026813e-05,0.00101792899943,3.57473635994,5.90793496728,0.00175461399315
15149,0.000183614691466,2.2081220336e-05,0.00101789853447,3.5746244769,5.90797235436,0.00175455889568
15150,0.000183608328719,2.20804138885e-05,0.00101786807042,3.57451259738,5.90800974026,0.00175450379995
15151,0.000183601966192,2.20796074704e-05,0.00101783760728,3.57440072138,5.90804712499,0.00175444870596
15152,0.000183595603885,2.20788010818e-05,0.00101780714505,3.57428884888,5.90808450854,0.00175439361371
15153,0.000183589241799,2.20779947227e-05,0.00101777668374,3.57417697991,5.90812189092,0.00175433852319
15154,0.000183582879934,2.2077188393e-05,0.00101774622333,3.57406511444,5.90815927213,0.00175428343441
15155,0.000183576518289,2.20763820927e-05,0.00101771576383,3.57395325249,5.90819665216,0.00175422834737
15156,0.000183570156864,2.20755758219e-05,0.00101768530525,3.57384139406,5.90823403101,0.00175417326206
15157,0.00018356379566,2.20747695806e-05,0.00101765484757,3.57372953913,5.9082714087,0.00175411817849
15158,0.000183557434677,2.20739633687e-05,0.0010176243908,3.57361768772,5.90830878521,0.00175406309665
15159,0.000183551073913,2.20731571862e-05,0.00101759393494,3.57350583983,5.90834616054,0.00175400801655
15160,0.00018354471337,2.20723510332e-05,0.00101756348,3.57339399545,5.9083835347,0.00175395293819
15161,0.000183538353048,2.20715449096e-05,0.00101753302596,3.57328215458,5.90842090769,0.00175389786156
15162,0.000183531992946,2.20707388154e-05,0.00101750257283,3.57317031722,5.9084582795,0.00175384278667
15163,0.000183525633064,2.20699327507e-05,0.00101747212061,3.57305848337,5.90849565014,0.00175378771352
